106. Double Indemnity,1944,1h 47m,Passed,8.3
107. Scarface,1983,2h 50m,A,8.3
108. Le fabuleux destin d'Amélie Poulain,2001,2h 2m,U,8.3
109. Incendies,2010,2h 11m,18,8.3
110. Full Metal Jacket,1987,1h 56m,UA,8.3
111. A Clockwork Orange,1971,2h 16m,A,8.3
112. Heat,1995,2h 50m,A,8.3
113. Up,2009,1h 36m,U,8.3
114. To Kill a Mockingbird,1962,2h 9m,U,8.3
115. The Sting,1973,2h 9m,U,8.3
116. Jodaeiye Nader Az Simin,2011,2h 3m,7,8.3
117. Indiana Jones and the Last Crusade,1989,2h 7m,U,8.2
118. Hamilton,2020,2h 40m,12+,8.3
119. Die Hard,1988,2h 12m,A,8.2
120. Metropolis,1927,2h 33m,Not Rated,8.3
121. Taare Zameen Par,2007,2h 42m,U,8.3
122. Snatch,2000,1h 44m,UA,8.2
123. Ladri Di Biciclette,1948,1h 29m,U,8.3
124. L.A. Confidential,1997,2h 18m,A,8.2
125. 1917,2019,1h 59m,R,8.2
126. Taxi Driver,1976,1h 54m,A,8.2
127. Der Untergang,2004,2h 36m,UA,8.2
128. Dangal,2016,2h 41m,U,8.3
129. Per qualche dollaro in più,1965,2h 12m,U,8.2
130. Batman Begins,2005,2h 20m,UA,8.2
131. Some Like It Hot,1959,2h 1m,U,8.2
132. The Wolf of Wall Street,2013,3h,A,8.2
133. The Kid,1921,1h 8m,Passed,8.2
134. Green Book,2018,2h 10m,UA,8.2
135. The Father,2020,1h 37m,UA,8.2
136. Top Gun: Maverick,2022,2h 10m,UA,8.3
137. All About Eve,1950,2h 18m,Passed,8.2
138. Judgment at Nuremberg,1961,2h 59m,A,8.3
139. The Truman Show,1998,1h 43m,U,8.2
140. There Will Be Blood,2007,2h 38m,A,8.2
141. Shutter Island,2010,2h 18m,A,8.2
142. Casino,1995,2h 58m,A,8.2
143. Ran,1985,2h 40m,Not Rated,8.2
144. Jurassic Park,1993,2h 7m,UA,8.2
145. The Sixth Sense,1999,1h 47m,A,8.2
146. El Laberinto Del Fauno,2006,1h 58m,R,8.2
147. Unforgiven,1992,2h 10m,A,8.2
148. A Beautiful Mind,2001,2h 15m,UA,8.2
149. No Country for Old Men,2007,2h 2m,18,8.2
150. The Treasure of the Sierra Madre,1948,2h 6m,Passed,8.2
151. Yojimbo,1961,1h 50m,U,8.2
152. The Thing,1982,1h 49m,A,8.2
153. Kill Bill: Vol. 1,2003,1h 51m,A,8.2
154. Monty Python and the Holy Grail,1975,1h 31m,U,8.2
155. The Great Escape,1963,2h 52m,U,8.2
156. Finding Nemo,2003,1h 40m,U,8.2
157. Rashōmon,1950,1h 28m,U,8.2
158. The Elephant Man,1980,2h 4m,UA,8.2
159. Hauru No Ugoku Shiro,2004,1h 59m,U,8.2
160. Chinatown,1974,2h 10m,UA,8.1
161. Prisoners,2013,2h 33m,A,8.1
162. Dial M for Murder,1954,1h 45m,A,8.2
163. Gone with the Wind,1939,3h 58m,U,8.2
164. V for Vendetta,2005,2h 12m,UA,8.2
